"","Stage","Date","Distance_km","Type","Winner","Type_general"
"545","15",1992-07-20,198,"Hilly stage","Franco Chioccioli","mountain"
"546","16",1992-07-21,212,"Hilly stage","Stephen Roche","mountain"
"547","17",1992-07-22,189,"Plain stage","Jean-Claude Colotti","flat"
"548","18",1992-07-23,212,"Plain stage","Thierry Marie","flat"
"549","19",1992-07-24,64,"Individual time trial","Miguel Indurain","time trial"
"550","20",1992-07-25,222,"Plain stage","Peter De Clercq","flat"
"551","21",1992-07-26,141,"Plain stage","Olaf Ludwig","flat"
"552","P",1991-07-06,5.4,"Individual time trial","Thierry Marie","time trial"
"553","1",1991-07-07,114.5,"Plain stage","Djamolidine Abdoujaparov","flat"
"554","2",1991-07-07,36.5,"Team time trial","Ariostea","time trial"
"555","3",1991-07-08,210.5,"Plain stage","Etienne De Wilde","flat"
"556","4",1991-07-09,286,"Plain stage","Djamolidine Abdoujaparov","flat"
"557","5",1991-07-10,149.5,"Plain stage","Jelle Nijdam","flat"
"558","6",1991-07-11,259,"Plain stage","Thierry Marie","flat"
"559","7",1991-07-12,167,"Plain stage","Jean-Paul van Poppel","flat"
"560","8",1991-07-13,73,"Individual time trial","Miguel Indurain","time trial"
"561","9",1991-07-14,161,"Plain stage","Mauro Ribeiro","flat"
"562","10",1991-07-15,207.5,"Plain stage","Phil Anderson","flat"
"563","11",1991-07-16,246,"Plain stage","Charly Mottet","flat"
"564","12",1991-07-18,192,"Stage with mountain(s)","Charly Mottet","mountain"
"565","13",1991-07-19,232,"Stage with mountain(s)","Claudio Chiappucci","mountain"
"566","14",1991-07-20,172.5,"Plain stage","Bruno Cenghialta","flat"
"567","15",1991-07-21,235,"Hilly stage","Moreno Argentin","mountain"
"568","16",1991-07-22,215,"Plain stage","Marco Lietti","flat"
"569","17",1991-07-23,125,"Stage with mountain(s)","Gianni Bugno","mountain"
"570","18",1991-07-24,255,"Stage with mountain(s)","Thierry Claveyrolat","mountain"
"571","19",1991-07-25,177,"Hilly stage","Dmitri Konychev","mountain"
"572","20",1991-07-26,160,"Hilly stage","Viatcheslav Ekimov","mountain"
"573","21",1991-07-27,57,"Individual time trial","Miguel Indurain","time trial"
"574","22",1991-07-28,178,"Plain stage","Dmitri Konychev","flat"
"575","P",1990-06-30,6.3,"Individual time trial","Thierry Marie","time trial"
"576","1",1990-07-01,138.5,"Plain stage","Frans Maassen","flat"
"577","2",1990-07-01,44.5,"Team time trial","Panasonic–Sportlife","time trial"
"578","3",1990-07-02,233,"Plain stage","Moreno Argentin","flat"
"579","4",1990-07-03,203,"Plain stage","Johan Museeuw","flat"
"580","5",1990-07-04,301,"Plain stage","Gerrit Solleveld","flat"
"581","6",1990-07-06,202.5,"Plain stage","Jelle Nijdam","flat"
"582","7",1990-07-07,61.5,"Individual time trial","Raúl Alcalá","time trial"
"583","8",1990-07-08,181.5,"Plain stage","Olaf Ludwig","flat"
"584","9",1990-07-09,196,"Hilly stage","Massimo Ghirotto","mountain"
"585","10",1990-07-10,118.5,"Stage with mountain(s)","Thierry Claveyrolat","mountain"
"586","11",1990-07-11,182.5,"Stage with mountain(s)","Gianni Bugno","mountain"
"587","12",1990-07-12,33.5,"Mountain time trial","Erik Breukink","time trial"
"588","13",1990-07-14,149,"Hilly stage","Eduardo Chozas","mountain"
"589","14",1990-07-15,205,"Hilly stage","Marino Lejarreta","mountain"
"590","15",1990-07-16,170,"Plain stage","Charly Mottet","flat"
"591","16",1990-07-17,215,"Stage with mountain(s)","Miguel Indurain","mountain"
"592","17",1990-07-18,150,"Stage with mountain(s)","Dmitri Konychev","mountain"
"593","18",1990-07-19,202,"Plain stage","Gianni Bugno","flat"
"594","19",1990-07-20,182.5,"Plain stage","Guido Bontempi","flat"
"595","20",1990-07-21,45.5,"Individual time trial","Erik Breukink","time trial"
"596","21",1990-07-22,182.5,"Plain stage","Johan Museeuw","flat"
"597","P",1989-07-01,7.8,"Individual time trial","Erik Breukink","time trial"
"598","1",1989-07-02,135.5,"Plain stage","Acácio da Silva","flat"
"599","2",1989-07-02,46,"Team time trial","Super U–Raleigh–Fiat","time trial"
"600","3",1989-07-03,241,"Plain stage","Raúl Alcalá","flat"
"601","4",1989-07-04,255,"Flat cobblestone stage","Jelle Nijdam","flat"
"602","5",1989-07-06,73,"Individual time trial","Greg LeMond","time trial"
"603","6",1989-07-07,259,"Plain stage","Joël Pelier","flat"
"604","7",1989-07-08,258.5,"Plain stage","Etienne De Wilde","flat"
"605","8",1989-07-09,157,"Plain stage","Martin Earley","flat"
"606","9",1989-07-10,147,"Stage with mountain(s)","Miguel Induráin","mountain"
"607","10",1989-07-11,136,"Stage with mountain(s)","Robert Millar","mountain"
"608","11",1989-07-12,158.5,"Plain stage","Mathieu Hermans","flat"
"609","12",1989-07-13,242,"Plain stage","Valerio Tebaldi","flat"
"610","13",1989-07-14,179,"Plain stage","Vincent Barteau","flat"
"611","14",1989-07-15,240,"Hilly stage","Jelle Nijdam","mountain"
"612","15",1989-07-16,39,"Mountain time trial","Steven Rooks","time trial"
"613","16",1989-07-18,175,"Stage with mountain(s)","Pascal Richard","mountain"
"614","17",1989-07-19,165,"Stage with mountain(s)","Gert-Jan Theunisse","mountain"
"615","18",1989-07-20,91.5,"Stage with mountain(s)","Laurent Fignon","mountain"
"616","19",1989-07-21,125,"Stage with mountain(s)","Greg LeMond","mountain"
"617","20",1989-07-22,130,"Plain stage","Giovanni Fidanza","flat"
"618","21",1989-07-23,24.5,"Individual time trial","Greg LeMond","time trial"
"619","P",1988-07-03,1,"Individual time trial","Guido Bontempi","time trial"
"620","1",1988-07-04,92,"Plain stage","Steve Bauer","flat"
"621","2",1988-07-04,48,"Team time trial","Panasonic–Isostar–Colnago–Agu","time trial"
"622","3",1988-07-05,213,"Plain stage","Jean-Paul van Poppel","flat"
"623","4",1988-07-06,158,"Plain stage","Acácio da Silva","flat"
"624","5",1988-07-07,148,"Plain stage","Jelle Nijdam","flat"
"625","6",1988-07-08,52,"Individual time trial","Sean Yates","time trial"
"626","7",1988-07-09,225,"Plain stage","Valerio Tebaldi","flat"
"627","8",1988-07-10,219,"Plain stage","Rolf Gölz","flat"
"628","9",1988-07-11,161,"Hilly stage","Jérôme Simon","mountain"
"629","10",1988-07-12,149,"Hilly stage","Jean-Paul van Poppel","mountain"
"630","11",1988-07-13,232,"Stage with mountain(s)","Fabio Parra","mountain"
"631","12",1988-07-14,227,"Stage with mountain(s)","Steven Rooks","mountain"
"632","13",1988-07-15,38,"Mountain time trial","Pedro Delgado","time trial"
"633","14",1988-07-17,163,"Stage with mountain(s)","Massimo Ghirotto","mountain"
"634","15",1988-07-18,187,"Stage with mountain(s)","Laudelino Cubino","mountain"
"635","16",1988-07-19,35,"Plain stage","Adrie van der Poel","flat"
"636","17",1988-07-19,198,"Plain stage","Jean-Paul van Poppel","flat"
"637","18",1988-07-20,94,"Plain stage","Gianni Bugno","flat"
"638","19",1988-07-21,188,"Hilly stage","Johnny Weltz","mountain"
"639","20",1988-07-22,223,"Plain stage","Thierry Marie","flat"
"640","21",1988-07-23,46,"Individual time trial","Juan Martinéz","time trial"
"641","22",1988-07-24,173,"Plain stage","Jean-Paul van Poppel","flat"
"642","P",1987-07-01,6,"Individual time trial","Jelle Nijdam","time trial"
"643","1",1987-07-02,105,"Plain stage","Nico Verhoeven","flat"
"644","2",1987-07-02,41,"Team time trial","Carrera Jeans–Vagabond","time trial"
"645","3",1987-07-04,219,"Plain stage","Acácio da Silva","flat"
"646","4",1987-07-05,79,"Plain stage","Herman Frison","flat"
"647","5",1987-07-05,112,"Plain stage","Marc Sergeant","flat"
"648","6",1987-07-06,169,"Plain stage","Christophe Lavainne","flat"
"649","7",1987-07-07,211,"Plain stage","Manuel Jorge Domínguez","flat"
"650","8",1987-07-08,206,"Plain stage","Jean-Paul van Poppel","flat"
"651","9",1987-07-09,260,"Plain stage","Adrie van der Poel","flat"
"652","10",1987-07-10,87,"Individual time trial","Stephen Roche","time trial"
"653","11",1987-07-11,206,"Hilly stage","Martial Gayant","mountain"
"654","12",1987-07-12,228,"Plain stage","Davis Phinney","flat"
"655","13",1987-07-13,219,"Stage with mountain(s)","Erik Breukink","mountain"
"656","14",1987-07-14,166,"Stage with mountain(s)","Dag Otto Lauritzen","mountain"
"657","15",1987-07-15,164,"Plain stage","Rolf Gölz","flat"
"658","16",1987-07-16,216,"Hilly stage","Régis Clère","mountain"
"659","17",1987-07-17,239,"Hilly stage","Jean-Paul van Poppel","mountain"
"660","18",1987-07-19,37,"Mountain time trial","Jean-François Bernard","time trial"
"661","19",1987-07-20,185,"Stage with mountain(s)","Pedro Delgado","mountain"
"662","20",1987-07-21,201,"Stage with mountain(s)","Federico Echave","mountain"
"663","21",1987-07-22,185,"Stage with mountain(s)","Laurent Fignon","mountain"
"664","22",1987-07-23,186,"Stage with mountain(s)","Eduardo Chozas","mountain"
"665","23",1987-07-24,225,"Plain stage","Régis Clère","flat"
"666","24",1987-07-25,38,"Individual time trial","Jean-François Bernard","time trial"
"667","25",1987-07-26,192,"Plain stage","Jeff Pierce","flat"
"668","P",1986-07-04,4.6,"Individual time trial","Thierry Marie","time trial"
"669","1",1986-07-05,85,"Plain stage","Pol Verschuere","flat"
"670","2",1986-07-05,56,"Team time trial","Système U","time trial"
"671","3",1986-07-06,214,"Plain stage","Davis Phinney","flat"
"672","4",1986-07-07,243,"Plain stage","Pello Ruiz Cabestany","flat"
"673","5",1986-07-08,124.5,"Plain stage","Johan van der Velde","flat"
"674","6",1986-07-09,200,"Plain stage","Guido Bontempi","flat"
"675","7",1986-07-10,201,"Plain stage","Ludo Peeters","flat"
"676","8",1986-07-11,204,"Plain stage","Eddy Planckaert","flat"
"677","9",1986-07-12,61.5,"Individual time trial","Bernard Hinault","time trial"
"678","10",1986-07-13,183,"Plain stage","Jose-Angel Sarrapio","flat"
"679","11",1986-07-14,258.3,"Plain stage","Rudy Dhaenens","flat"
"680","12",1986-07-15,217.5,"Stage with mountain(s)","Pedro Delgado","mountain"
"681","13",1986-07-16,186,"Stage with mountain(s)","Greg LeMond","mountain"
"682","14",1986-07-17,154,"Plain stage","Niki Rüttimann","flat"
"683","15",1986-07-18,225.5,"Plain stage","Frank Hoste","flat"
"684","16",1986-07-19,246.5,"Plain stage","Jean-François Bernard","flat"
"685","17",1986-07-20,190,"Stage with mountain(s)","Eduardo Chozas","mountain"
"686","18",1986-07-21,162.5,"Stage with mountain(s)","Bernard Hinault","mountain"
"687","19",1986-07-23,179.5,"Plain stage","Julián Gorospe","flat"
"688","20",1986-07-24,58,"Individual time trial","Bernard Hinault","time trial"
"689","21",1986-07-25,190,"Plain stage","Erich Mächler","flat"
"690","22",1986-07-26,194,"Plain stage","Guido Bontempi","flat"
"691","23",1986-07-27,255,"Plain stage","Guido Bontempi","flat"
"692","P",1985-06-28,6,"Individual time trial","Bernard Hinault","time trial"
"693","1",1985-06-29,256,"Plain stage","Rudy Matthijs","flat"
"694","2",1985-06-30,242,"Plain stage","Rudy Matthijs","flat"
"695","3",1985-07-01,73,"Team time trial","La Vie Claire","time trial"
"696","4",1985-07-02,239,"Plain stage","Gerrit Solleveld","flat"
"697","5",1985-07-03,224,"Plain stage with cobblestones","Henri Manders","flat"
"698","6",1985-07-04,222,"Plain stage","Francis Castaing","flat"
"699","7",1985-07-05,217,"Plain stage","Ludwig Wijnants","flat"
"700","8",1985-07-06,75,"Individual time trial","Bernard Hinault","time trial"
"701","9",1985-07-07,174,"Hilly stage","Maarten Ducrot","mountain"
"702","10",1985-07-08,204,"Hilly stage","Jørgen V. Pedersen","mountain"
"703","11",1985-07-09,195,"Stage with mountain(s)","Luis Herrera","mountain"
"704","12",1985-07-10,269,"Stage with mountain(s)","Fabio Parra","mountain"
"705","13",1985-07-11,32,"Individual time trial","Eric Vanderaerden","time trial"
"706","14",1985-07-13,179,"Hilly stage","Luis Herrera","mountain"
"707","15",1985-07-14,238,"Plain stage","Eduardo Chozas","flat"
"708","16",1985-07-15,247,"Plain stage","Frédéric Vichot","flat"
"709","17",1985-07-16,209,"Stage with mountain(s)","Pedro Delgado","mountain"
"710","18a",1985-07-17,53,"Stage with mountain(s)","Stephen Roche","mountain"
"711","18b",1985-07-17,83,"Stage with mountain(s)","Régis Simon","mountain"
"712","19",1985-07-18,203,"Plain stage","Eric Vanderaerden","flat"
"713","20",1985-07-19,225,"Plain stage","Johan Lammerts","flat"
"714","21",1985-07-20,46,"Individual time trial","Greg LeMond","time trial"
"715","22",1985-07-21,196,"Plain stage","Rudy Matthijs","flat"
"716","P",1984-06-29,5,"Individual time trial","Bernard Hinault","time trial"
"717","1",1984-06-30,149,"Plain stage","Frank Hoste","flat"
"718","2",1984-07-01,249,"Plain stage","Marc Madiot","flat"
"719","3",1984-07-02,51,"Team time trial","Renault–Elf","time trial"
"720","4",1984-07-02,83,"Plain stage","Ferdi Van Den Haute","flat"
"721","5",1984-07-03,207,"Plain stage","Paulo Ferreira","flat"
"722","6",1984-07-04,202,"Plain stage","Frank Hoste","flat"
"723","7",1984-07-05,67,"Individual time trial","Laurent Fignon","time trial"
"724","8",1984-07-06,192,"Plain stage","Pascal Jules","flat"
"725","9",1984-07-07,338,"Plain stage","Jan Raas","flat"
"726","10",1984-07-08,198,"Plain stage","Eric Vanderaerden","flat"
"727","11",1984-07-09,227,"Stage with mountain(s)","Robert Millar","mountain"
"728","12",1984-07-10,111,"Plain stage","Pascal Poisson","flat"
"729","13",1984-07-11,220,"Plain stage","Pierre-Henri Menthéour","flat"
"730","14",1984-07-12,228,"Hilly stage","Fons De Wolf","mountain"
"731","15",1984-07-13,241,"Hilly stage","Frédéric Vichot","mountain"
"732","16",1984-07-15,22,"Individual time trial","Laurent Fignon","time trial"
"733","17",1984-07-16,151,"Stage with mountain(s)","Luis Herrera","mountain"
"734","18",1984-07-17,185,"Stage with mountain(s)","Laurent Fignon","mountain"
"735","19",1984-07-18,186,"Stage with mountain(s)","Ángel Arroyo","mountain"
"736","20",1984-07-19,141,"Stage with mountain(s)","Laurent Fignon","mountain"
"737","21",1984-07-20,320,"Hilly stage","Frank Hoste","mountain"
"738","22",1984-07-21,51,"Individual time trial","Laurent Fignon","time trial"
"739","23",1984-07-22,197,"Hilly stage","Eric Vanderaerden","mountain"
"740","P",1983-07-01,6,"Individual time trial","Eric Vanderaerden","time trial"
"741","1",1983-07-02,163,"Plain stage","Frits Pirard","flat"
"742","2",1983-07-03,100,"Team time trial","COOP–Mercier–Mavic","time trial"
"743","3",1983-07-04,152,"Hilly stage","Rudy Matthijs","mountain"
"744","4",1983-07-05,300,"Plain stage","Serge Demierre","flat"
"745","5",1983-07-06,257,"Plain stage","Dominique Gaigne","flat"
"746","6",1983-07-07,58,"Individual time trial","Bert Oosterbosch","time trial"
"747","7",1983-07-08,216,"Plain stage","Riccardo Magrini","flat"
"748","8",1983-07-09,222,"Plain stage","Bert Oosterbosch","flat"
"749","9",1983-07-10,207,"Plain stage","Philippe Chevallier","flat"
"750","10",1983-07-11,201,"Stage with mountain(s)","Robert Millar","mountain"
"751","11",1983-07-12,177,"Plain stage","Régis Clère","flat"
"752","12",1983-07-13,261,"Plain stage","Kim Andersen","flat"
"753","13",1983-07-14,210,"Hilly stage","Henk Lubberding","mountain"
"754","14",1983-07-15,149,"Hilly stage","Pierre Le Bigaut","mountain"
"755","15",1983-07-16,16,"Individual time trial","Ángel Arroyo","time trial"
"756","16",1983-07-17,144,"Hilly stage","Michel Laurent","mountain"
"757","17",1983-07-18,223,"Stage with mountain(s)","Peter Winnen","mountain"
"758","18",1983-07-20,247,"Stage with mountain(s)","Jacques Michaud","mountain"
"759","19",1983-07-21,15,"Individual time trial","Lucien Van Impe","time trial"
"760","20",1983-07-22,291,"Plain stage","Philippe Leleu","flat"
"761","21",1983-07-23,50,"Individual time trial","Laurent Fignon","time trial"
"762","22",1983-07-24,195,"Plain stage","Gilbert Glaus","flat"
"763","P",1982-07-02,7,"Individual time trial","Bernard Hinault","time trial"
"764","1",1982-07-03,207,"Hilly stage","Ludo Peeters","mountain"
"765","2",1982-07-04,250,"Plain stage","Phil Anderson","flat"
"766","3",1982-07-05,134,"Plain stage","Daniel Willems","flat"
"767","4",1982-07-06,219,"Plain stage","Gerrie Knetemann","flat"
"768","5",1982-07-07,73,"Team time trial","Cancelled and replaced by stage 9a","time trial"
"769","6",1982-07-08,233,"Plain stage","Jan Raas","flat"
"770","7",1982-07-10,235,"Plain stage","Pol Verschuere","flat"
"771","8",1982-07-11,201,"Plain stage","Frank Hoste","flat"
"772","9a",1982-07-12,69,"Team time trial","Renault–Elf–Gitane","time trial"
"773","9b",1982-07-12,138,"Plain stage","Stefan Mutter","flat"
"774","10",1982-07-13,147,"Plain stage","Pierre-Raymond Villemiane","flat"
"775","11",1982-07-14,57,"Individual time trial","Gerrie Knetemann","time trial"
"776","12",1982-07-15,249,"Stage with mountain(s)","Sean Kelly","mountain"
"777","13",1982-07-16,122,"Stage with mountain(s)","Beat Breu","mountain"
"778","14",1982-07-18,33,"Individual time trial","Bernard Hinault","time trial"
"779","15",1982-07-19,208,"Stage with mountain(s)","Pascal Simon","mountain"
"780","16",1982-07-20,123,"Stage with mountain(s)","Beat Breu","mountain"
"781","17",1982-07-21,251,"Stage with mountain(s)","Peter Winnen","mountain"
"782","18",1982-07-22,233,"Plain stage","Adrie van Houwelingen","flat"
"783","19",1982-07-23,48,"Individual time trial","Bernard Hinault","time trial"
"784","20",1982-07-24,161,"Plain stage","Daniel Willems","flat"
"785","21",1982-07-25,187,"Plain stage","Bernard Hinault","flat"
"786","P",1981-06-25,6,"Individual time trial","Bernard Hinault","time trial"
"787","1a",1981-06-26,97,"Hilly stage","Freddy Maertens","mountain"
"788","1b",1981-06-26,40,"Team time trial","TI–Raleigh–Creda","time trial"
"789","2",1981-06-27,254,"Plain stage","Johan van der Velde","flat"
"790","3",1981-06-28,232,"Plain stage","Freddy Maertens","flat"
"791","4",1981-06-29,77,"Team time trial","TI–Raleigh–Creda","time trial"
"792","5",1981-06-30,117,"Stage with mountain(s)","Lucien Van Impe","mountain"
"793","6",1981-07-01,27,"Individual time trial","Bernard Hinault","time trial"
"794","7",1981-07-02,227,"Plain stage","Urs Freuler","flat"
"795","8",1981-07-03,182,"Plain stage","Ad Wijnands","flat"
"796","9",1981-07-05,197,"Plain stage","René Martens","flat"
"797","10",1981-07-06,264,"Plain stage","Ad Wijnands","flat"
"798","11",1981-07-07,246,"Plain stage","Daniel Willems","flat"
"799","12a",1981-07-08,107,"Plain stage","Freddy Maertens","flat"
"800","12b",1981-07-08,138,"Plain stage","Eddy Planckaert","flat"
"801","13",1981-07-09,157,"Plain stage","Freddy Maertens","flat"
"802","14",1981-07-10,38,"Individual time trial","Bernard Hinault","time trial"
"803","15",1981-07-11,231,"Hilly stage","Sean Kelly","mountain"
"804","16",1981-07-12,200,"Stage with mountain(s)","Robert Alban","mountain"
"805","17",1981-07-14,230,"Stage with mountain(s)","Peter Winnen","mountain"
"806","18",1981-07-15,134,"Stage with mountain(s)","Bernard Hinault","mountain"
"807","19",1981-07-16,118,"Plain stage","Daniel Willems","flat"
"808","20",1981-07-17,46,"Individual time trial","Bernard Hinault","time trial"
"809","21",1981-07-18,207,"Plain stage","Johan van der Velde","flat"
"810","22",1981-07-19,187,"Plain stage","Freddy Maertens","flat"
"811","P",1980-06-26,8,"Individual time trial","Bernard Hinault","time trial"
"812","1a",1980-06-27,133,"Plain stage","Jan Raas","flat"
"813","1b",1980-06-27,46,"Team time trial","TI–Raleigh–Creda","time trial"
"814","2",1980-06-28,276,"Plain stage","Rudy Pevenage","flat"
"815","3",1980-06-29,282,"Plain stage","Henk Lubberding","flat"
"816","4",1980-06-30,35,"Individual time trial","Bernard Hinault","time trial"
"817","5",1980-07-01,249,"Plain stage","Bernard Hinault","flat"
"818","6",1980-07-02,216,"Plain stage","Jean-Louis Gauthier","flat"
"819","7a",1980-07-03,65,"Team time trial","TI–Raleigh–Creda","time trial"
"820","7b",1980-07-03,92,"Plain stage","Jan Raas","flat"
"821","8",1980-07-04,164,"Plain stage","Bert Oosterbosch","flat"
"822","9",1980-07-06,205,"Plain stage","Jan Raas","flat"
"823","10",1980-07-07,163,"Plain stage","Cees Priem","flat"
"824","11",1980-07-08,52,"Individual time trial","Joop Zoetemelk","time trial"
"825","12",1980-07-09,194,"Plain stage","Gerrie Knetemann","flat"
"826","13",1980-07-10,200,"Stage with mountain(s)","Raymond Martin","mountain"
"827","14",1980-07-11,189,"Plain stage","Ludo Peeters","flat"
"828","15",1980-07-12,160,"Plain stage","Bernard Vallet","flat"
"829","16",1980-07-13,209,"Stage with mountain(s)","Jos De Schoenmaecker","mountain"
"830","17",1980-07-14,242,"Stage with mountain(s)","Mariano Martínez","mountain"
"831","18",1980-07-16,199,"Stage with mountain(s)","Ludo Loos","mountain"
"832","19",1980-07-17,140,"Hilly stage","Sean Kelly","mountain"
"833","20",1980-07-18,34,"Individual time trial","Joop Zoetemelk","time trial"
"834","21",1980-07-19,208,"Plain stage","Sean Kelly","flat"
"835","22",1980-07-20,186,"Plain stage","Pol Verschuere","flat"
"836","P",1979-06-27,5,"Individual time trial","Gerrie Knetemann","time trial"
"837","1",1979-06-28,225,"Stage with mountain(s)","René Bittinger","mountain"
"838","2",1979-06-29,24,"Individual time trial","Bernard Hinault","time trial"
"839","3",1979-06-30,180,"Stage with mountain(s)","Bernard Hinault","mountain"
"840","4",1979-07-01,87,"Team time trial","TI–Raleigh–McGregor","time trial"
"841","5",1979-07-02,145,"Plain stage","Jan Raas","flat"
"842","6",1979-07-03,239,"Plain stage","Jos Jacobs","flat"
"843","7",1979-07-04,158,"Plain stage","Leo van Vliet","flat"
"844","8",1979-07-05,90,"Team time trial","TI–Raleigh–McGregor","time trial"
"845","9",1979-07-06,201,"Plain stage","Ludo Delcroix","flat"
"846","10",1979-07-07,124,"Plain stage","Jo Maas","flat"
"847","11",1979-07-08,33,"Individual time trial","Bernard Hinault","time trial"
"848","12",1979-07-09,193,"Plain stage","Christian Seznec","flat"
"849","13",1979-07-10,202,"Hilly stage","Pierre-Raymond Villemiane","mountain"
"850","14",1979-07-11,248,"Plain stage","Marc Demeyer","flat"
"851","15",1979-07-12,54,"Individual time trial","Bernard Hinault","time trial"
"852","16",1979-07-13,201,"Stage with mountain(s)","Lucien Van Impe","mountain"
"853","17",1979-07-15,167,"Stage with mountain(s)","Joaquim Agostinho","mountain"
"854","18",1979-07-16,119,"Stage with mountain(s)","Joop Zoetemelk","mountain"
"855","19",1979-07-17,162,"Plain stage","Dietrich Thurau","flat"
"856","20",1979-07-18,240,"Plain stage","Serge Parsani","flat"
"857","21",1979-07-19,49,"Individual time trial","Bernard Hinault","time trial"
"858","22",1979-07-20,189,"Plain stage","Gerrie Knetemann","flat"
"859","23",1979-07-21,205,"Plain stage","Bernard Hinault","flat"
"860","24",1979-07-22,180,"Plain stage","Bernard Hinault","flat"
"861","P",1978-06-29,5,"Individual time trial","Jan Raas","time trial"
"862","1a",1978-06-30,135,"Plain stage","Jan Raas","flat"
"863","1b",1978-06-30,100,"Plain stage","Walter Planckaert","flat"
"864","2",1978-07-01,199,"Plain stage","Jacques Esclassan","flat"
"865","3",1978-07-02,244,"Plain stage","Klaus-Peter Thaler","flat"
"866","4",1978-07-03,153,"Team time trial","TI–Raleigh–McGregor","time trial"
"867","5",1978-07-04,244,"Plain stage","Freddy Maertens","flat"
"868","6",1978-07-05,162,"Plain stage","Sean Kelly","flat"
"869","7",1978-07-06,242,"Plain stage","Freddy Maertens","flat"
"870","8",1978-07-07,59,"Individual time trial","Bernard Hinault","time trial"
"871","9",1978-07-08,233,"Plain stage","Miguel Maria Lasa","flat"
"872","10",1978-07-10,192,"Hilly stage","Henk Lubberding","mountain"
"873","11",1978-07-11,161,"Stage with mountain(s)","Mariano Martínez","mountain"
"874","12a",1978-07-12,158,"Plain stage","Cancelled","flat"
"875","12b",1978-07-12,96,"Plain stage","Jacques Esclassan","flat"
"876","13",1978-07-13,221,"Hilly stage","Paul Wellens","mountain"
"877","14",1978-07-14,52,"Individual time trial","Joop Zoetemelk","time trial"
"878","15",1978-07-15,196,"Hilly stage","Bernard Hinault","mountain"
"879","16",1978-07-16,241,"Stage with mountain(s)","Hennie Kuiper","mountain"
"880","17",1978-07-18,225,"Stage with mountain(s)","Christian Seznec","mountain"
"881","18",1978-07-19,137,"Plain stage","Gerrie Knetemann","flat"
"882","19",1978-07-20,182,"Plain stage","Marc Demeyer","flat"
"883","20",1978-07-21,72,"Individual time trial","Bernard Hinault","time trial"
"884","21",1978-07-22,207,"Plain stage","Jan Raas","flat"
"885","22",1978-07-23,162,"Plain stage","Gerrie Knetemann","flat"
"886","P",1977-06-30,5,"Individual time trial","Dietrich Thurau","time trial"
"887","1",1977-07-01,237,"Plain stage","Pierre-Raymond Villemiane","flat"
"888","2",1977-07-02,253,"Stage with mountain(s)","Dietrich Thurau","mountain"
"889","3",1977-07-03,248,"Stage with mountain(s)","José Nazabal","mountain"
"890","4",1977-07-04,256,"Stage with mountain(s)","Régis Delépine","mountain"
"891","5a",1977-07-05,139,"Plain stage","Jacques Esclassan","flat"
"892","5b",1977-07-05,30,"Individual time trial","Dietrich Thurau","time trial"
"893","6",1977-07-07,225,"Plain stage","Jan Raas","flat"
"894","7a",1977-07-08,140,"Plain stage","Patrick Sercu","flat"
"895","7b",1977-07-08,4,"Team time trial","Fiat France","time trial"
"896","8",1977-07-09,247,"Plain stage","Giacinto Santambrogio","flat"
"897","9",1977-07-10,187,"Stage with mountain(s)","Klaus-Peter Thaler","mountain"
"898","10",1977-07-11,174,"Plain stage","Fedor den Hertog","flat"
"899","11",1977-07-12,242,"Plain stage","Jean-Pierre Danguillaume","flat"
"900","12",1977-07-13,193,"Stage with mountain(s)","Patrick Sercu","mountain"
"901","13a",1977-07-14,46,"Plain stage","Patrick Sercu","flat"
"902","13b",1977-07-14,160,"Plain stage","Jean-Pierre Danguillaume","flat"
"903","14",1977-07-16,230,"Stage with mountain(s)","Bernard Quilfen","mountain"
"904","15a",1977-07-17,105,"Stage with mountain(s)","Paul Wellens","mountain"
"905","15b",1977-07-17,14,"Individual time trial","Lucien Van Impe","time trial"
"906","16",1977-07-18,121,"Stage with mountain(s)","Dietrich Thurau","mountain"
"907","17",1977-07-19,185,"Stage with mountain(s)","Hennie Kuiper","mountain"
"908","18",1977-07-20,199,"Stage with mountain(s)","no winner","mountain"
"909","19",1977-07-21,172,"Plain stage","Gerrie Knetemann","flat"
"910","20",1977-07-22,50,"Individual time trial","Bernard Thévenet","time trial"
"911","21",1977-07-23,142,"Plain stage","Gerrie Knetemann","flat"
"912","22a",1977-07-24,6,"Individual time trial","Dietrich Thurau","time trial"
"913","22b",1977-07-24,91,"Plain stage","Alain Meslet","flat"
"914","P",1976-06-24,8,"Individual time trial","Freddy Maertens","time trial"
"915","1",1976-06-25,173,"Flat Stage","Freddy Maertens","flat"
"916","2",1976-06-26,237,"Flat Stage","Giovanni Battaglin","flat"
"917","3",1976-06-27,37,"Individual time trial","Freddy Maertens","time trial"
"918","4",1976-06-28,258,"Flat Stage","Hennie Kuiper","flat"
"919","5a",1976-06-29,4,"Team time trial","TI–Raleigh–Campagnolo","time trial"
"920","5b",1976-06-29,144,"Half Stage","Miguel-Maria Lasa","other"
"921","6",1976-06-30,209,"Flat Stage","Aldo Parecchini","flat"
"922","7",1976-07-01,206,"Flat Stage","Freddy Maertens","flat"
"923","8",1976-07-02,220,"Flat Stage","Jacques Esclassan","flat"
"924","9",1976-07-04,258,"Mountain Stage","Joop Zoetemelk","mountain"
"925","10",1976-07-05,166,"Mountain Stage","Joop Zoetemelk","mountain"
